CODE,TEXT,CATEGORY
c000124,Littering in the classroom or hallways.,minor
c000125,Bullying or harassment of other students.,major
c000126,Severe vandalism or arson on school property.,grave
c000127,Eating in class without permission.,minor
c000128,Serious threats made to students or faculty.,grave
c000129,Serious threats made to students or faculty.,grave
c000130,Intentional destruction of school property.,major
c000131,Bullying or harassment of other students.,major
c000132,Serious threats made to students or faculty.,grave
c000133,Intentional destruction of school property.,major
c000134,Littering in the classroom or hallways.,minor
c000135,Bringing a weapon to school.,grave
c000136,Intentional destruction of school property.,major
c000137,Littering in the classroom or hallways.,minor
c000138,Possession of prohibited substances on school grounds.,major
c000139,Physical assault on a teacher or staff member.,grave
c000140,Severe vandalism or arson on school property.,grave
c000141,Physical assault on a teacher or staff member.,grave
c000142,Bullying or harassment of other students.,major
c000143,Theft of school funds or equipment.,grave
c000144,Eating in class without permission.,minor
c000145,Intentional destruction of school property.,major
c000146,Fighting with another student in school premises.,major
c000147,Severe vandalism or arson on school property.,grave
c000148,Fighting with another student in school premises.,major
c000149,Skipping class repeatedly without valid reason.,major
c000150,Intentional destruction of school property.,major
c000151,Fighting with another student in school premises.,major
c000152,Littering in the classroom or hallways.,minor
c000153,Tardiness in attending morning assembly.,minor
c000154,Eating in class without permission.,minor
c000155,Bullying or harassment of other students.,major
c000156,Littering in the classroom or hallways.,minor
c000157,Eating in class without permission.,minor
c000158,Skipping class repeatedly without valid reason.,major
c000159,Serious threats made to students or faculty.,grave
c000160,Severe vandalism or arson on school property.,grave
c000161,Not bringing required school materials.,minor
c000162,Skipping class repeatedly without valid reason.,major
c000163,Not bringing required school materials.,minor
c000164,Bullying or harassment of other students.,major
c000165,Not bringing required school materials.,minor
c000166,Possession of prohibited substances on school grounds.,major
c000167,Theft of school funds or equipment.,grave
c000168,Possession of prohibited substances on school grounds.,major
c000169,Tardiness in attending morning assembly.,minor
c000170,Severe vandalism or arson on school property.,grave
c000171,Theft of school funds or equipment.,grave
c000172,Fighting with another student in school premises.,major
c000173,Theft of school funds or equipment.,grave
c000174,Fighting with another student in school premises.,major
c000175,Failure to wear proper school uniform.,minor
c000176,Littering in the classroom or hallways.,minor
c000177,Tardiness in attending morning assembly.,minor
c000178,Not bringing required school materials.,minor
c000179,Possession of prohibited substances on school grounds.,major
c000180,Skipping class repeatedly without valid reason.,major
c000181,Not bringing required school materials.,minor
c000182,Severe vandalism or arson on school property.,grave
c000183,Eating in class without permission.,minor
c000184,Skipping class repeatedly without valid reason.,major
c000185,Severe vandalism or arson on school property.,grave
c000186,Possession of prohibited substances on school grounds.,major
c000187,Physical assault on a teacher or staff member.,grave
c000188,Possession of prohibited substances on school grounds.,major
c000189,Possession of prohibited substances on school grounds.,major
c000190,Bullying or harassment of other students.,major
c000191,Serious threats made to students or faculty.,grave
c000192,Not bringing required school materials.,minor
c000193,Intentional destruction of school property.,major
c000194,Possession of prohibited substances on school grounds.,major
c000195,Tardiness in attending morning assembly.,minor
c000196,Physical assault on a teacher or staff member.,grave
c000197,Theft of school funds or equipment.,grave
c000198,Eating in class without permission.,minor
c000199,Skipping class repeatedly without valid reason.,major
c000200,Bringing a weapon to school.,grave
c000201,Physical assault on a teacher or staff member.,grave
c000202,Serious threats made to students or faculty.,grave
c000203,Skipping class repeatedly without valid reason.,major
c000204,Serious threats made to students or faculty.,grave
c000205,Bringing a weapon to school.,grave
c000206,Eating in class without permission.,minor
c000207,Physical assault on a teacher or staff member.,grave
c000208,Skipping class repeatedly without valid reason.,major
c000209,Severe vandalism or arson on school property.,grave
c000210,Severe vandalism or arson on school property.,grave
c000211,Possession of prohibited substances on school grounds.,major
c000212,Bringing a weapon to school.,grave
c000213,Theft of school funds or equipment.,grave
c000214,Failure to wear proper school uniform.,minor
c000215,Possession of prohibited substances on school grounds.,major
c000216,Bullying or harassment of other students.,major
c000217,Failure to wear proper school uniform.,minor
c000218,Severe vandalism or arson on school property.,grave
c000219,Serious threats made to students or faculty.,grave
c000220,Bullying or harassment of other students.,major
c000221,Failure to wear proper school uniform.,minor
c000222,Skipping class repeatedly without valid reason.,major
c000223,Littering in the classroom or hallways.,minor
c000224,Not bringing required school materials.,minor
c000225,Serious threats made to students or faculty.,grave
c000226,Possession of prohibited substances on school grounds.,major
c000227,Possession of prohibited substances on school grounds.,major
c000228,Intentional destruction of school property.,major
c000229,Not bringing required school materials.,minor
c000230,Skipping class repeatedly without valid reason.,major
c000231,Intentional destruction of school property.,major
c000232,Severe vandalism or arson on school property.,grave
c000233,Eating in class without permission.,minor
c000234,Fighting with another student in school premises.,major
c000235,Physical assault on a teacher or staff member.,grave
c000236,Serious threats made to students or faculty.,grave
c000237,Serious threats made to students or faculty.,grave
c000238,Not bringing required school materials.,minor
c000239,Fighting with another student in school premises.,major
c000240,Theft of school funds or equipment.,grave
c000241,Failure to wear proper school uniform.,minor
c000242,Eating in class without permission.,minor
c000243,Skipping class repeatedly without valid reason.,major
c000244,Fighting with another student in school premises.,major
c000245,Bullying or harassment of other students.,major
c000246,Possession of prohibited substances on school grounds.,major
c000247,Serious threats made to students or faculty.,grave
c000248,Eating in class without permission.,minor
c000249,Serious threats made to students or faculty.,grave
c000250,Fighting with another student in school premises.,major
c000251,Bullying or harassment of other students.,major
c000252,Bullying or harassment of other students.,major
c000253,Failure to wear proper school uniform.,minor
c000254,Failure to wear proper school uniform.,minor
c000255,Serious threats made to students or faculty.,grave
c000256,Skipping class repeatedly without valid reason.,major
c000257,Littering in the classroom or hallways.,minor
c000258,Not bringing required school materials.,minor
c000259,Serious threats made to students or faculty.,grave
c000260,Bullying or harassment of other students.,major
c000261,Intentional destruction of school property.,major
c000262,Intentional destruction of school property.,major
c000263,Skipping class repeatedly without valid reason.,major
c000264,Failure to wear proper school uniform.,minor
c000265,Intentional destruction of school property.,major
c000266,Not bringing required school materials.,minor
c000267,Fighting with another student in school premises.,major
c000268,Bullying or harassment of other students.,major
c000269,Bullying or harassment of other students.,major
c000270,Intentional destruction of school property.,major
c000271,Tardiness in attending morning assembly.,minor
c000272,Bringing a weapon to school.,grave
c000273,Tardiness in attending morning assembly.,minor
c000274,Serious threats made to students or faculty.,grave
c000275,Serious threats made to students or faculty.,grave
c000276,Skipping class repeatedly without valid reason.,major
c000277,Theft of school funds or equipment.,grave
c000278,Physical assault on a teacher or staff member.,grave
c000279,Fighting with another student in school premises.,major
c000280,Failure to wear proper school uniform.,minor
c000281,Bringing a weapon to school.,grave
c000282,Littering in the classroom or hallways.,minor
c000283,Intentional destruction of school property.,major
c000284,Littering in the classroom or hallways.,minor
c000285,Intentional destruction of school property.,major
c000286,Littering in the classroom or hallways.,minor
c000287,Intentional destruction of school property.,major
c000288,Skipping class repeatedly without valid reason.,major
c000289,Littering in the classroom or hallways.,minor
c000290,Littering in the classroom or hallways.,minor
c000291,Intentional destruction of school property.,major
c000292,Bringing a weapon to school.,grave
c000293,Physical assault on a teacher or staff member.,grave
c000294,Intentional destruction of school property.,major
c000295,Eating in class without permission.,minor
c000296,Littering in the classroom or hallways.,minor
c000297,Skipping class repeatedly without valid reason.,major
c000298,Failure to wear proper school uniform.,minor
c000299,Skipping class repeatedly without valid reason.,major
c000300,Not bringing required school materials.,minor
c000301,Failure to wear proper school uniform.,minor
c000302,Failure to wear proper school uniform.,minor
c000303,Eating in class without permission.,minor
c000304,Littering in the classroom or hallways.,minor
c000305,Bringing a weapon to school.,grave
c000306,Theft of school funds or equipment.,grave
c000307,Bullying or harassment of other students.,major
c000308,Serious threats made to students or faculty.,grave
c000309,Possession of prohibited substances on school grounds.,major
c000310,Tardiness in attending morning assembly.,minor
c000311,Severe vandalism or arson on school property.,grave
c000312,Possession of prohibited substances on school grounds.,major
c000313,Not bringing required school materials.,minor
c000314,Theft of school funds or equipment.,grave
c000315,Skipping class repeatedly without valid reason.,major
c000316,Intentional destruction of school property.,major
c000317,Tardiness in attending morning assembly.,minor
c000318,Failure to wear proper school uniform.,minor
c000319,Bringing a weapon to school.,grave
c000320,Not bringing required school materials.,minor
c000321,Failure to wear proper school uniform.,minor
c000322,Bringing a weapon to school.,grave
c000323,Failure to wear proper school uniform.,minor
c000324,Not bringing required school materials.,minor
c000325,Theft of school funds or equipment.,grave
c000326,Physical assault on a teacher or staff member.,grave
c000327,Fighting with another student in school premises.,major
c000328,Eating in class without permission.,minor
c000329,Bullying or harassment of other students.,major
c000330,Fighting with another student in school premises.,major
c000331,Bullying or harassment of other students.,major
c000332,Physical assault on a teacher or staff member.,grave
c000333,Failure to wear proper school uniform.,minor
c000334,Bringing a weapon to school.,grave
c000335,Possession of prohibited substances on school grounds.,major
c000336,Serious threats made to students or faculty.,grave
c000337,Physical assault on a teacher or staff member.,grave
c000338,Severe vandalism or arson on school property.,grave
c000339,Serious threats made to students or faculty.,grave
c000340,Theft of school funds or equipment.,grave
c000341,Fighting with another student in school premises.,major
c000342,Intentional destruction of school property.,major
c000343,Tardiness in attending morning assembly.,minor
c000344,Bringing a weapon to school.,grave
c000345,Serious threats made to students or faculty.,grave
c000346,Not bringing required school materials.,minor
c000347,Intentional destruction of school property.,major
c000348,Theft of school funds or equipment.,grave
c000349,Tardiness in attending morning assembly.,minor
c000350,Severe vandalism or arson on school property.,grave
c000351,Bullying or harassment of other students.,major
c000352,Bringing a weapon to school.,grave
c000353,Serious threats made to students or faculty.,grave
c000354,Fighting with another student in school premises.,major
c000355,Theft of school funds or equipment.,grave
c000356,Bullying or harassment of other students.,major
c000357,Possession of prohibited substances on school grounds.,major
c000358,Bullying or harassment of other students.,major
c000359,Bringing a weapon to school.,grave
c000360,Failure to wear proper school uniform.,minor
c000361,Eating in class without permission.,minor
c000362,Theft of school funds or equipment.,grave
c000363,Bullying or harassment of other students.,major
c000364,Bringing a weapon to school.,grave
c000365,Bullying or harassment of other students.,major
c000366,Tardiness in attending morning assembly.,minor
c000367,Not bringing required school materials.,minor
c000368,Tardiness in attending morning assembly.,minor
c000369,Bullying or harassment of other students.,major
c000370,Theft of school funds or equipment.,grave
c000371,Bringing a weapon to school.,grave
c000372,Severe vandalism or arson on school property.,grave
c000373,Failure to wear proper school uniform.,minor
c000374,Eating in class without permission.,minor
c000375,Serious threats made to students or faculty.,grave
c000376,Bringing a weapon to school.,grave
c000377,Not bringing required school materials.,minor
c000378,Serious threats made to students or faculty.,grave
c000379,Failure to wear proper school uniform.,minor
c000380,Tardiness in attending morning assembly.,minor
c000381,Failure to wear proper school uniform.,minor
c000382,Fighting with another student in school premises.,major
c000383,Intentional destruction of school property.,major
c000384,Skipping class repeatedly without valid reason.,major
c000385,Severe vandalism or arson on school property.,grave
c000386,Fighting with another student in school premises.,major
c000387,Severe vandalism or arson on school property.,grave
c000388,Skipping class repeatedly without valid reason.,major
c000389,Bringing a weapon to school.,grave
c000390,Eating in class without permission.,minor
c000391,Fighting with another student in school premises.,major
c000392,Intentional destruction of school property.,major
c000393,Severe vandalism or arson on school property.,grave
c000394,Severe vandalism or arson on school property.,grave
c000395,Physical assault on a teacher or staff member.,grave
c000396,Theft of school funds or equipment.,grave
c000397,Severe vandalism or arson on school property.,grave
c000398,Serious threats made to students or faculty.,grave
c000399,Bringing a weapon to school.,grave
c000400,Failure to wear proper school uniform.,minor
c000401,Eating in class without permission.,minor
c000402,Bullying or harassment of other students.,major
c000403,Bullying or harassment of other students.,major
c000404,Not bringing required school materials.,minor
c000405,Not bringing required school materials.,minor
c000406,Not bringing required school materials.,minor
c000407,Theft of school funds or equipment.,grave
c000408,Bringing a weapon to school.,grave
c000409,Physical assault on a teacher or staff member.,grave
c000410,Fighting with another student in school premises.,major
c000411,Intentional destruction of school property.,major
c000412,Not bringing required school materials.,minor
c000413,Fighting with another student in school premises.,major
c000414,Severe vandalism or arson on school property.,grave
c000415,Fighting with another student in school premises.,major
c000416,Fighting with another student in school premises.,major
c000417,Serious threats made to students or faculty.,grave
c000418,Not bringing required school materials.,minor
c000419,Theft of school funds or equipment.,grave
c000420,Tardiness in attending morning assembly.,minor
c000421,Failure to wear proper school uniform.,minor
c000422,Fighting with another student in school premises.,major
c000423,Not bringing required school materials.,minor
c000424,Littering in the classroom or hallways.,minor
c000425,Theft of school funds or equipment.,grave
c000426,Serious threats made to students or faculty.,grave
c000427,Serious threats made to students or faculty.,grave
c000428,Bullying or harassment of other students.,major
c000429,Serious threats made to students or faculty.,grave
c000430,Serious threats made to students or faculty.,grave
c000431,Failure to wear proper school uniform.,minor
c000432,Bringing a weapon to school.,grave
c000433,Severe vandalism or arson on school property.,grave
c000434,Severe vandalism or arson on school property.,grave
c000435,Littering in the classroom or hallways.,minor
c000436,Bullying or harassment of other students.,major
c000437,Littering in the classroom or hallways.,minor
c000438,Not bringing required school materials.,minor
c000439,Theft of school funds or equipment.,grave
c000440,Bringing a weapon to school.,grave
c000441,Eating in class without permission.,minor
c000442,Possession of prohibited substances on school grounds.,major
c000443,Physical assault on a teacher or staff member.,grave
c000444,Tardiness in attending morning assembly.,minor
c000445,Not bringing required school materials.,minor
c000446,Bullying or harassment of other students.,major
c000447,Eating in class without permission.,minor
c000448,Bringing a weapon to school.,grave
c000449,Bringing a weapon to school.,grave
c000450,Tardiness in attending morning assembly.,minor
c000451,Intentional destruction of school property.,major
c000452,Fighting with another student in school premises.,major
c000453,Possession of prohibited substances on school grounds.,major
c000454,Theft of school funds or equipment.,grave
c000455,Tardiness in attending morning assembly.,minor
c000456,Fighting with another student in school premises.,major
c000457,Bringing a weapon to school.,grave
c000458,Eating in class without permission.,minor
c000459,Skipping class repeatedly without valid reason.,major
c000460,Intentional destruction of school property.,major
c000461,Theft of school funds or equipment.,grave
c000462,Tardiness in attending morning assembly.,minor
c000463,Severe vandalism or arson on school property.,grave
c000464,Eating in class without permission.,minor
c000465,Possession of prohibited substances on school grounds.,major
c000466,Bullying or harassment of other students.,major
c000467,Bullying or harassment of other students.,major
c000468,Not bringing required school materials.,minor
c000469,Bringing a weapon to school.,grave
c000470,Littering in the classroom or hallways.,minor
c000471,Bringing a weapon to school.,grave
c000472,Physical assault on a teacher or staff member.,grave
c000473,Not bringing required school materials.,minor
c000474,Fighting with another student in school premises.,major
c000475,Intentional destruction of school property.,major
c000476,Severe vandalism or arson on school property.,grave
c000477,Bringing a weapon to school.,grave
c000478,Eating in class without permission.,minor
c000479,Bringing a weapon to school.,grave
c000480,Eating in class without permission.,minor
c000481,Failure to wear proper school uniform.,minor
c000482,Intentional destruction of school property.,major
c000483,Fighting with another student in school premises.,major
c000484,Severe vandalism or arson on school property.,grave
c000485,Failure to wear proper school uniform.,minor
c000486,Bringing a weapon to school.,grave
c000487,Bullying or harassment of other students.,major
c000488,Tardiness in attending morning assembly.,minor
c000489,Bringing a weapon to school.,grave
c000490,Serious threats made to students or faculty.,grave
c000491,Littering in the classroom or hallways.,minor
c000492,Tardiness in attending morning assembly.,minor
c000493,Failure to wear proper school uniform.,minor
c000494,Tardiness in attending morning assembly.,minor
c000495,Tardiness in attending morning assembly.,minor
c000496,Fighting with another student in school premises.,major
c000497,Intentional destruction of school property.,major
c000498,Serious threats made to students or faculty.,grave
c000499,Theft of school funds or equipment.,grave
c000500,Bringing a weapon to school.,grave
c000501,Hindi pagdadala ng mga kinakailangang gamit sa klase.,minor
c000502,Hindi pagdadala ng mga kinakailangang gamit sa klase.,minor
c000503,Matinding paninira o pagsunog ng ari-arian ng paaralan.,grave
c000504,Sinadyang pagkasira ng ari-arian ng paaralan.,major
c000505,Paulit-ulit na pagliban sa klase nang walang valid na dahilan.,major
c000506,Hindi pagsusuot ng tamang uniporme ng paaralan.,minor
c000507,Pagkain sa loob ng klase nang walang pahintulot.,minor
c000508,Hindi pagdadala ng mga kinakailangang gamit sa klase.,minor
c000509,Hindi pagdadala ng mga kinakailangang gamit sa klase.,minor
c000510,Pananakot o pangha-harass sa kapwa mag-aaral.,major
c000511,Pakikipag-away sa kapwa mag-aaral sa loob ng paaralan.,major
c000512,Pagtatapon ng basura sa silid-aralan o pasilyo.,minor
c000513,Pagkain sa loob ng klase nang walang pahintulot.,minor
c000514,Matinding paninira o pagsunog ng ari-arian ng paaralan.,grave
c000515,Hindi pagsusuot ng tamang uniporme ng paaralan.,minor
c000516,Paulit-ulit na pagliban sa klase nang walang valid na dahilan.,major
c000517,Pagnanakaw ng pondo o kagamitan ng paaralan.,grave
c000518,Pakikipag-away sa kapwa mag-aaral sa loob ng paaralan.,major
c000519,Hindi pagsusuot ng tamang uniporme ng paaralan.,minor
c000520,Pagdadala ng ipinagbabawal na gamit sa loob ng paaralan.,major
c000521,Pagdadala ng ipinagbabawal na gamit sa loob ng paaralan.,major
c000522,Sinadyang pagkasira ng ari-arian ng paaralan.,major
c000523,Hindi pagdadala ng mga kinakailangang gamit sa klase.,minor
c000524,Pakikipag-away sa kapwa mag-aaral sa loob ng paaralan.,major
c000525,Pagtatapon ng basura sa silid-aralan o pasilyo.,minor
c000526,Matinding paninira o pagsunog ng ari-arian ng paaralan.,grave
c000527,Pagdadala ng ipinagbabawal na gamit sa loob ng paaralan.,major
c000528,Pagdadala ng ipinagbabawal na gamit sa loob ng paaralan.,major
c000529,Pananakit sa guro o miyembro ng staff.,grave
c000530,Pagka-late sa pagdalo sa morning assembly.,minor
c000531,Hindi pagsusuot ng tamang uniporme ng paaralan.,minor
c000532,Pagdadala ng armas sa loob ng paaralan.,grave
c000533,Pakikipag-away sa kapwa mag-aaral sa loob ng paaralan.,major
c000534,Hindi pagdadala ng mga kinakailangang gamit sa klase.,minor
c000535,Malubhang pagbabanta sa kapwa estudyante o guro.,grave
c000536,Paulit-ulit na pagliban sa klase nang walang valid na dahilan.,major
c000537,Pagkain sa loob ng klase nang walang pahintulot.,minor
c000538,Pagka-late sa pagdalo sa morning assembly.,minor
c000539,Hindi pagsusuot ng tamang uniporme ng paaralan.,minor
c000540,Pakikipag-away sa kapwa mag-aaral sa loob ng paaralan.,major
c000541,Pagdadala ng armas sa loob ng paaralan.,grave
c000542,Pananakot o pangha-harass sa kapwa mag-aaral.,major
c000543,Pagdadala ng armas sa loob ng paaralan.,grave
c000544,Hindi pagdadala ng mga kinakailangang gamit sa klase.,minor
c000545,Hindi pagsusuot ng tamang uniporme ng paaralan.,minor
c000546,Pakikipag-away sa kapwa mag-aaral sa loob ng paaralan.,major
c000547,Hindi pagsusuot ng tamang uniporme ng paaralan.,minor
c000548,Pagnanakaw ng pondo o kagamitan ng paaralan.,grave
c000549,Hindi pagdadala ng mga kinakailangang gamit sa klase.,minor
c000550,Pagdadala ng ipinagbabawal na gamit sa loob ng paaralan.,major
c000551,Pagdadala ng armas sa loob ng paaralan.,grave
c000552,Pagka-late sa pagdalo sa morning assembly.,minor
c000553,Pananakot o pangha-harass sa kapwa mag-aaral.,major
c000554,Pagka-late sa pagdalo sa morning assembly.,minor
c000555,Hindi pagdadala ng mga kinakailangang gamit sa klase.,minor
c000556,Matinding paninira o pagsunog ng ari-arian ng paaralan.,grave
c000557,Pagkain sa loob ng klase nang walang pahintulot.,minor
c000558,Pananakot o pangha-harass sa kapwa mag-aaral.,major
c000559,Paulit-ulit na pagliban sa klase nang walang valid na dahilan.,major
c000560,Pagdadala ng armas sa loob ng paaralan.,grave
c000561,Matinding paninira o pagsunog ng ari-arian ng paaralan.,grave
c000562,Pagnanakaw ng pondo o kagamitan ng paaralan.,grave
c000563,Pagdadala ng armas sa loob ng paaralan.,grave
c000564,Pananakot o pangha-harass sa kapwa mag-aaral.,major
c000565,Pananakot o pangha-harass sa kapwa mag-aaral.,major
c000566,Paulit-ulit na pagliban sa klase nang walang valid na dahilan.,major
c000567,Paulit-ulit na pagliban sa klase nang walang valid na dahilan.,major
c000568,Malubhang pagbabanta sa kapwa estudyante o guro.,grave
c000569,Pananakit sa guro o miyembro ng staff.,grave
c000570,Hindi pagsusuot ng tamang uniporme ng paaralan.,minor
c000571,Paulit-ulit na pagliban sa klase nang walang valid na dahilan.,major
c000572,Pagdadala ng armas sa loob ng paaralan.,grave
c000573,Pananakit sa guro o miyembro ng staff.,grave
c000574,Pananakot o pangha-harass sa kapwa mag-aaral.,major
c000575,Pagdadala ng armas sa loob ng paaralan.,grave
c000576,Pagdadala ng armas sa loob ng paaralan.,grave
c000577,Hindi pagsusuot ng tamang uniporme ng paaralan.,minor
c000578,Paulit-ulit na pagliban sa klase nang walang valid na dahilan.,major
c000579,Pagnanakaw ng pondo o kagamitan ng paaralan.,grave
c000580,Matinding paninira o pagsunog ng ari-arian ng paaralan.,grave
c000581,Pagkain sa loob ng klase nang walang pahintulot.,minor
c000582,Pagkain sa loob ng klase nang walang pahintulot.,minor
c000583,Pananakot o pangha-harass sa kapwa mag-aaral.,major
c000584,Pagdadala ng armas sa loob ng paaralan.,grave
c000585,Pagtatapon ng basura sa silid-aralan o pasilyo.,minor
c000586,Hindi pagdadala ng mga kinakailangang gamit sa klase.,minor
c000587,Hindi pagdadala ng mga kinakailangang gamit sa klase.,minor
c000588,Pakikipag-away sa kapwa mag-aaral sa loob ng paaralan.,major
c000589,Pagnanakaw ng pondo o kagamitan ng paaralan.,grave
c000590,Pagkain sa loob ng klase nang walang pahintulot.,minor
c000591,Paulit-ulit na pagliban sa klase nang walang valid na dahilan.,major
c000592,Hindi pagsusuot ng tamang uniporme ng paaralan.,minor
c000593,Pagka-late sa pagdalo sa morning assembly.,minor
c000594,Hindi pagdadala ng mga kinakailangang gamit sa klase.,minor
c000595,Pakikipag-away sa kapwa mag-aaral sa loob ng paaralan.,major
c000596,Pakikipag-away sa kapwa mag-aaral sa loob ng paaralan.,major
c000597,Pagdadala ng armas sa loob ng paaralan.,grave
c000598,Pagtatapon ng basura sa silid-aralan o pasilyo.,minor
c000599,Pagkain sa loob ng klase nang walang pahintulot.,minor
c000600,Pagkain sa loob ng klase nang walang pahintulot.,minor
c000601,Pagdadala ng armas sa loob ng paaralan.,grave
c000602,Pananakot o pangha-harass sa kapwa mag-aaral.,major
c000603,Pagkain sa loob ng klase nang walang pahintulot.,minor
c000604,Pagdadala ng ipinagbabawal na gamit sa loob ng paaralan.,major
c000605,Pagkain sa loob ng klase nang walang pahintulot.,minor
c000606,Hindi pagdadala ng mga kinakailangang gamit sa klase.,minor
c000607,Sinadyang pagkasira ng ari-arian ng paaralan.,major
c000608,Pananakit sa guro o miyembro ng staff.,grave
c000609,Pagtatapon ng basura sa silid-aralan o pasilyo.,minor
c000610,Pananakot o pangha-harass sa kapwa mag-aaral.,major
c000611,Pagtatapon ng basura sa silid-aralan o pasilyo.,minor
c000612,Pananakit sa guro o miyembro ng staff.,grave
c000613,Hindi pagsusuot ng tamang uniporme ng paaralan.,minor
c000614,Matinding paninira o pagsunog ng ari-arian ng paaralan.,grave
c000615,Sinadyang pagkasira ng ari-arian ng paaralan.,major
c000616,Pagdadala ng ipinagbabawal na gamit sa loob ng paaralan.,major
